CODE	SUPPLIER	SUPPCODE	DESCRIPTION	RETAIL	TRADE	MLP	DISC1	DISC2	FWDDATE	FWDRETAIL	FWDTRADE	FWDMLP	FWDDISC1	FWDDISC2
CH35	13012	CH35	MONTROSE 350X584MM CHEST(290MM DEEP)	350.81	280.67	350.845	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CH40	13012	CH40	MONTROSE 400X584MM CHEST(290MM DEEP)	371.14	296.93	371.175	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CH45	13012	CH45	MONTROSE 450X584MM CHEST(290MM DEEP)	390.60	312.49	390.614	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CH50	13012	CH50	MONTROSE 500X584MM CHEST(290MM DEEP)	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CH60	13012	CH60	MONTROSE 600X584MM CHEST(290MM DEEP)	450.68	360.56	450.713	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CH70	13012	CH70	MONTROSE 700X584MM CHEST(290MM DEEP)	482.49	386.01	482.528	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CH80	13012	CH80	MONTROSE 800X584MM CHEST(290MM DEEP)	505.49	404.40	505.509	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CH90	13012	CH90	MONTROSE 900X584MM CHEST(290MM DEEP)	532.87	426.31	532.901	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CHP30	13012	CHP30	MONTROSE 300X728MM CHEST(290MM DEEP)	337.56	270.07	337.589	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CHP35	13012	CHP35	MONTROSE 350X728MM CHEST(290MM DEEP)	350.81	280.67	350.845	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CHP40	13012	CHP40	MONTROSE 400X728MM CHEST(290MM DEEP)	371.14	296.93	371.175	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CHP45	13012	CHP45	MONTROSE 450X728MM CHEST(290MM DEEP)	390.60	312.49	390.614	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CHP50	13012	CHP50	MONTROSE 500X728MM CHEST(290MM DEEP)	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CHP60	13012	CHP60	MONTROSE 600X728MM CHEST(290MM DEEP)	450.67	360.55	450.713	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CHP70	13012	CHP70	MONTROSE 700X728MM CHEST(290MM DEEP)	482.49	386.01	482.528	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CHP80	13012	CHP80	MONTROSE 800X728MM CHEST(290MM)	505.49	404.40	505.509	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CHP90	13012	CHP90	MONTROSE 900X728MM CHEST(290MM DEEP)	532.87	426.31	532.901	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CN	13012	CN    	MONTROSE 4 WAY SPLITTER	93.66	74.95	93.669	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP10	13012	CP10	MONTROSE 1064MM CORNER POST	31.79	25.45	31.815	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP10HG	13012	CP10HG	MONTROSE 1064MM HI-GLOSS CORNER POST	37.97	30.40	37.997	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP10PR	13012	CP10PR	MONTROSE 1064X108MM PRESSED CORNER POST	32.50	26.00	32.500	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP16	13012	CP16	MONTROSE 1670MM CORNER POST	44.16	35.34	44.191	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP16HG	13012	CP16HG	MONTROSE 1670MM HI-GLOSS CORNER POST	52.99	42.42	53.025	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP16PR	13012	CP16PR	MONTROSE 1673X108MM PRESSED CORNER POST	44.17	35.30	44.170	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP58	13012	CP58	MONTROSE 584MM CORNER POST	30.03	24.03	30.044	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP58HG	13012	CP58HG	MONTROSE 584MM HI-GLOSS CORNER POST	36.22	28.98	36.238	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP58PR	13012	CP58PR	MONTROSE 584X108MM PRESSED CORNER POST	30.83	24.60	30.830	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP72	13012	CP72	MONTROSE 728MM CORNER POST	30.03	24.03	30.044	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP72HG	13012	CP72HG	MONTROSE 728MM HI-GLOSS CORNER POST	36.22	28.98	36.238	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CP72PR	13012	CP72PR	MONTROSE 728X108MM PRESSED CORNER POST	30.83	24.60	30.830	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CT30	13012	CT30	MONTROSE 300MM TALL PLAIN WALL CUP(225MM	282.78	226.24	282.804	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CT30M	13012	CT30M	MONTROSE 300MM TALL MIRR WALL CUP(200MM 	297.73	238.20	297.820	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CT355	13012	CT35	MONTROSE 350MM TALL PLAIN WALL CUP(225MM	298.69	238.95	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CT35M	13012	CT35M	MONTROSE 350MM TALL MIRR WALL CUP(200MM	310.18	248.16	310.196	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CT40	13012	CT40	MONTROSE 400MM TALL PLAIN WALL CUP(225MM	311.94	249.57	311.968	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CT45	13012	CT45	MONTROSE 450MM TALL PLAIN WALL CUP(225MM	327.84	262.29	327.875	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU15	13012	CU15	MONTROSE 150X584MM BASE CUPBOARD(290MM D	169.65	135.74	169.680	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU15S	13012	CU15S	MONTROSE 150X584MM BASE CUPBOARD(200MM D	169.65	135.74	169.680	50.00	0.00		0.00	0.00	0.00	0.00	0.00
CU20	13012	CU20	MONTROSE 200X584MM BASE CUPBOARD(290MM D	169.65	135.74	169.680	50.00	0.00		0.00	0.00	0.00	0.00	0.00
