CODE	SUPPLIER	SUPPCODE	DESCRIPTION	RETAIL	TRADE	MLP	DISC1	DISC2	FWDDATE	FWDRETAIL	FWDTRADE	FWDMLP	FWDDISC1	FWDDISC2
DVU80	13012	DVU80	MONTROSE 800X584MM WC UNIT+CIS(290MM DEE	418.00	334.40	418.018	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVU80S	13012	DVU80S	MONTROSE 800X584MM WC UNIT+CIS(200MM DEE	418.00	334.40	418.018	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVU90	13012	DVU90	MONTROSE 900X584MM WC UNIT+CIS(290MM DEE	429.48	343.60	429.503	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVU90S	13012	DVU90S	MONTROSE 900X584MM WC UNIT+CIS(200MM DEE	429.48	343.60	429.503	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUP50	13012	DVUP50	MONTROSE 500X728MM WC UNIT+CIS(290MM DEE	383.54	306.83	383.551	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUP50S	13012	DVUP50S	MONTROSE 500X728MM WC UNIT+CIS(200MM DEE	383.53	306.83	383.551	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUP60	13012	DVUP60	MONTROSE 600X728MM WC UNIT+CIS(290MM DEE	383.53	306.84	383.551	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUP60S	13012	DVUP60S	MONTROSE 600X728MM WC UNIT+CIS(200MM DEE	383.53	306.84	383.551	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUP70	13012	DVUP70	MONTROSE 700X728MM WC UNIT+CIS(290MM DEE	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUP70S	13012	DVUP70S	MONTROSE 700X728MM WC UNIT+CIS(200MM DEE	404.74	323.80	404.761	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUP80	13012	DVUP80	MONTROSE 800X728MM WC UNIT+CIS(290MM DEE	418.00	334.40	418.018	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUP80S	13012	DVUP80S	MONTROSE 800X728MM WC UNIT+CIS(200MM DEE	418.00	334.40	418.018	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUP90	13012	DVUP90	MONTROSE 900X728MM WC UNIT+CIS(290MM DEE	429.48	343.60	429.503	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUP90S	13012	DVUP90S	MONTROSE 900X728MM WC UNIT+CIS(200MM DEE	429.48	343.60	429.503	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUW60	13012	DVUW60	MONTROSE 600MM W/HUNG WC UNIT(290MM)SQ	737.89	590.34	737.927	50.00	0.00		0.00	0.00	0.00	0.00	0.00
DVUW60S	13012	DVUW60S	MONTROSE 600MM W/HUNG WC UNIT(200MM)	737.89	590.34	737.920	50.00	0.00		0.00	0.00	0.00	0.00	0.00
E1HG	13012	E1HG	MONTROSE 392MM HI-GLOSS WHITE END	45.06	36.06	45.071	50.00	0.00		0.00	0.00	0.00	0.00	0.00
E2HG	13012	E2HG	MONTROSE 584MM HI-GLOSS WHITE END	52.14	41.72	52.145	50.00	0.00		0.00	0.00	0.00	0.00	0.00
E3HG	13012	E3HG	MONTROSE 728/828/1064MM HI GLOSS END	69.80	55.85	69.812	50.00	0.00		0.00	0.00	0.00	0.00	0.00
E4HG	13012	E4HG	MONTROSE 1670MM HI-GLOSS END	98.97	79.18	98.976	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FACU	13012	FACU	MONTROSE 542X1914MM PLAIN ANGLED WALL CU	613.31	490.65	613.319	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FACUP	13012	FACUP	MONTROSE 542X1814MM PLAIN ANGLED WALL CU	613.31	490.65	613.319	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FFI58PR	13012	FFI58PR	MONTROSE 584X250MM PRESSED FRONT FILLER	79.17	63.33	79.170	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FFI72PR	13012	FFI72PR	MONTROSE 728X250MM PRESSED FRONT FILLER	79.17	63.33	79.170	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU30	13012	FHU30	MONTROSE 300X1670MM FULL HEIGHT BASE(290	364.94	291.97	364.993	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU30L	13012	FHU30L	MONTROSE 300X1670MM PART GLAZED BASE(290	480.74	384.60	480.756	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU30LS	13012	FHU30LS	MONTROSE 300X1670MM PART GLAZED BASE(200	480.74	384.60	480.756	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU30M	13012	FHU30M	MONTROSE 300X1670MM MIRROR BASE(290MM)	428.61	342.90	428.623	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU30MS	13012	FHU30MS	MONTROSE 200X1670MM MIRROR BASE(200MM)	428.61	342.90	428.623	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU30S	13012	FHU30S	MONTROSE 300X1670MM FULL HEIGHT BASE(200	364.94	291.97	364.993	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU35	13012	FHU35	MONTROSE 350X1670MM FULL HEIGHT BASE(290	387.94	310.37	387.962	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU35L	13012	FHU35L	MONTROSE 350X1670MM PART GLAZED BASE(290	501.07	400.87	501.086	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU35LS	13012	FHU35LS	MONTROSE 350X1670MM PART GLAZED BASE(200	501.07	400.87	501.086	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU35M	13012	FHU35M	MONTROSE 350X1670MM MIRROR BASE(290MM)	440.96	352.79	440.987	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU35MS	13012	FHU35MS	MONTROSE 350X1670MM MIRROR BASE(200MM)	440.96	352.79	440.987	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHU35S	13012	FHU35S	MONTROSE 350X1670MM FULL HEIGHT BASE(200	387.94	310.37	387.962	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP30	13012	FHUP30	MONTROSE 300X1814MM FULL HEIGHT BASE(290	364.94	291.97	364.993	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP30L	13012	FHUP30L	MONTROSE 300X1814MM PART GLAZED BASE(290	480.74	384.60	480.756	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP30LS	13012	FHUP30LS	MONTROSE 300X1814MM PART GLAZED BASE(200	480.74	384.60	480.756	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP30M	13012	FHUP30M	MONTROSE 300X1814MM MIRROR BASE(290MM)	428.61	342.90	428.623	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP30MS	13012	FHUP30MS	MONTROSE 300X1814MM MIRROR BASE(200MM)	428.61	342.90	428.623	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP30S	13012	FHUP30S	MONTROSE 300X1814MM FULL HEIGHT BASE(200	364.94	291.97	364.993	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP35	13012	FHUP35	MONTROSE 350X1814MM FULL HEIGHT BASE(290	387.94	310.37	387.962	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP35L	13012	FHUP35L	MONTROSE 350X1814MM PART GLAZED BASE(290	501.07	400.87	501.086	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP35LS	13012	FHUP35LS	MONTROSE 350X1814MM PART GLAZED BASE(200	501.07	400.87	501.086	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP35M	13012	FHUP35M	MONTROSE 350X1814MM MIRROR BASE(290MM)	440.96	352.79	440.987	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP35MS	13012	FHUP35MS	MONTROSE 350X1814MM MIRROR BASE(200MM)	440.96	352.79	440.987	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FHUP35S	13012	FHUP35S	MONTROSE 350X1814MM FULL HEIGHT BASE(200	387.94	310.37	387.962	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI10	13012	FI10	MONTROSE 1064X108MM SIDE FILLER	20.31	16.26	20.330	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI10HG	13012	FI10HG	MONTROSE 1064X108MM HI-GLOSS SIDE FILLER	23.85	19.09	23.861	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI10PR	13012	FI10PR	MONTROSE 1064X108MM PRESSED SIDE FILLER	20.83	16.60	20.830	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI16	13012	FI16	MONTROSE 1670X108MM SIDE FILLER	21.18	16.97	21.210	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI16HG	13012	FI16HG	MONTROSE 1670X107MM HI-GLOSS SIDE FILLER	25.63	20.50	25.633	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI16PR	13012	FI16PR	MONTROSE 1673X108MM PRESSED SIDE FILLER	21.67	17.30	21.670	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI19	13012	FI19	MONTROSE 1914X108MM SIDE FILLER	26.48	21.21	26.513	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI19HG	13012	FI19HG	MONTROSE 1914X108MM HI-GLOSS SIDE FILLER	31.79	25.45	31.815	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI19PR	13012	FI19PR	MONTROSE 1917X108MM PRESSED SIDE FILLER	27.50	22.00	27.500	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI58	13012	FI58	MONTROSE 584X108MM SIDE FILLER	17.65	14.14	17.679	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI58HG	13012	FI58HG	MONTROSE 584X108MM HI-GLOSS SIDE FILLER	21.18	16.97	21.210	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI58PR	13012	FI58PR	MONTROSE 584X108MM PRESSED SIDE FILLER	18.33	14.60	18.330	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI72	13012	FI72	MONTROSE 728X108MM SIDE FILLER	17.65	14.14	17.679	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI72HG	13012	FI72HG	MONTROSE 728X108MM HI-GLOSS SIDE FILLER	21.17	16.97	21.210	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI72PR	13012	FI72PR	MONTROSE 728X108MM PRESSED SIDE FILLER	18.33	14.60	18.330	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI82	13012	FI82	MONTROSE 828X108MM SIDE FILLER	19.43	15.55	19.439	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI82HG	13012	FI82HG	MONTROSE 828X108MM HI-GLOSS SIDE FILLER	22.97	18.38	22.981	50.00	0.00		0.00	0.00	0.00	0.00	0.00
FI82PR	13012	FI82PR	MONTROSE 828X108MM PRESSED SIDE FILLER	20.00	16.00	20.000	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GBDDUP60	13012	GBDDUP60	MONTROSE GELCAST D/DRAWER UNIT+BASIN	859.34	687.48	859.355	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GFS298	13012	GFS298	MONTROSE 298X162MM GLASS SHELF	35.33	28.28	35.346	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GFS348	13012	GFS348	MONTROSE 348X162M GLASS SHELF	37.97	30.40	37.997	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GFS40S	13012	GFS40S	MONTROSE 400X120MM GLASS SHELF	37.97	30.40	37.997	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GFS50S	13012	GFS50S	MONTROSE 500X120MM GLASS SHELF	39.74	31.82	39.769	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GFS60S	13012	GFS60S	MONTROSE 600X120MM GLASS SHELF	42.39	33.94	42.420	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GFS70S	13012	GFS70S	MONTROSE 700X120MM GLASS SHELF	44.16	35.34	44.191	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GS130	13012	GS130	MONTROSE 300MM GLASS SHELF WALL PANEL	187.33	149.89	187.359	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GS135	13012	GS135	MONTROSE 350MM GLASS SHELF WALL PANEL	202.35	161.90	202.375	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GSD30	13012	GSD30	MONTROSE 300MM GLASS SHELF DOUBLE WALL P	144.01	115.24	144.047	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GSD35	13012	GSD35	MONTROSE 350MM GLASS DOUBLE SHELF WALL P	166.13	132.91	166.149	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GSS30	13012	GSS30	MONTROSE 300MM GLASS SHELF SINGLE WALL P	98.96	79.18	98.976	50.00	0.00		0.00	0.00	0.00	0.00	0.00
GSS35	13012	GSS35	MONTROSE 350MM GLASS SHELF SINGLE WALL P	105.15	84.14	105.170	50.00	0.00		0.00	0.00	0.00	0.00	0.00
H15	13012	H15   	MONTROSE H15 ANTIQUE PEWTER HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H17	13012	H17	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H2	13012	H2   	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H20	13012	H20  	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H21	13012	H21	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H23	13012	H23	MONTROSE CHROME HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H36	13012	H36	MONTROSE CHROME HANDLE	0.01	0.01	0.001	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H39	13012	H39	MONTROSE H39 HANDLE	0.01	0.01	0.001	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H40	13012	H40	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H41	13012	H41	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H42320	13012	H52/320	MONTROSE HANDLE 362MM	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H42480	13012	H42/480	MONTROSE 522MM HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H42640	13012	H42640	MONTROSE HANDLE 682MM	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H43	13012	H43	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H44	13012	H44	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H45	13012	H45	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H5	13012	H5   	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H51	13012	H51    	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H52	13012	H52	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H6B	13012	H6B	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H6C	13012	H6/C	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H7B	13012	H7B	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H7C	13012	H7C	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H8	13012	H8  	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
H8WH	13012	H8WH	MONTROSE HANDLE	0.01	0.01	0.000	0.00	0.00		0.00	0.00	0.00	0.00	0.00
IC2400	13012	IC2400	MONTROSE 2400X306MM CARCASS PANEL	49.81	39.87	49.844	50.00	0.00		0.00	0.00	0.00	0.00	0.00
IC2400FDPR	13012	IC2400FDPR	MONTROSE 2400X566MM PRESSED CARCASE PANE	165.00	132.00	165.000	50.00	0.00		0.00	0.00	0.00	0.00	0.00
IC2400FDSPR	13012	IC2400FDSPR	MONTROSE 2400X416MM PRESSED CARCASE PANE	165.00	132.00	165.000	50.00	0.00		0.00	0.00	0.00	0.00	0.00
IC2400PR	13012	IC2400PR	MONTROSE 2400X306MM PRESSED CARCASE PANE	98.33	78.60	98.330	50.00	0.00		0.00	0.00	0.00	0.00	0.00
IC828	13012	IC828	MONTROSE 828X306MM CARCASE PANEL	18.54	14.85	18.559	50.00	0.00		0.00	0.00	0.00	0.00	0.00
IC828FDPR	13012	IC828FDPR	MONTROSE 828X566MM PRESSED CARCASE PANEL	115.00	92.00	115.000	50.00	0.00		0.00	0.00	0.00	0.00	0.00
IC828FDSPR	13012	IC828FDSPR	MONTROSE 828X416MM PRESSED CARCASE PANEL	115.00	92.00	115.000	50.00	0.00		0.00	0.00	0.00	0.00	0.00
IC828PR	13012	IC828PR	MONTROSE 828X306MM PRESSED CARCASE PANEL	70.00	56.00	70.000	50.00	0.00		0.00	0.00	0.00	0.00	0.00
ICS2400S	13012	ICS2400S	MONTROSE 2400X216MM CARCASS PANEL	36.21	28.98	36.238	50.00	0.00		0.00	0.00	0.00	0.00	0.00
ICS2400SPR	13012	ICS2400SPR	MONTROSE 2400X216MM PRESSED CARCASE PANE	98.33	78.65	98.330	50.00	0.00		0.00	0.00	0.00	0.00	0.00
ICS828S	13012	ICS828S	MONTROSE 828X216MM CARCASS PANEL	16.75	13.42	16.787	50.00	0.00		0.00	0.00	0.00	0.00	0.00
ICS828SPR	13012	ICS828SPR	MONTROSE 828X216MM PRESSED CARCASE PANEL	70.00	56.00	70.000	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LBU35	13012	LBU35	MONTROSE 350X584MM LAUNDRY BASKET(290MM 	249.19	199.37	249.218	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LBUP35	13012	LBUP35	MONTROSE 350X728MM LAUNDRY BASKET(290MM 	249.19	199.37	249.218	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU30	13012	LCU30	MONTROSE 300MM LOW BASE CUPBOARD(290MM D	189.99	152.01	190.010	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU30S	13012	LCU30S	MONTROSE 300MM LOW BASE CUPBOARD(200MM D	189.99	152.01	190.010	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU35	13012	LCU35	MONTROSE 350MM LOW BASE CUPBOARD(290MM D	203.24	162.60	203.266	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU35S	13012	LCU35S	MONTROSE 350MM LOW BASE CUPBOARD(200MM D	204.58	163.68	203.266	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU40	13012	LCU40	MONTROSE 400MM LOW BASE CUPBOARD(290MM D	215.60	172.49	215.631	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU40S	13012	LCU40S	MONTROSE 400MM LOW BASE CUPBOARD(200MM D	215.60	172.49	215.631	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU45	13012	LCU45	MONTROSE 450MM LOW BASE CUPBOARD(290MM D	224.39	179.52	224.476	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU45S	13012	LCU45S	MONTROSE 450MM LOW BASE CUPBOARD(200MM D	224.39	179.52	224.476	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU50	13012	LCU50	MONTROSE 500MM LOW BASE CUPBOARD(290MM D	284.53	227.65	284.564	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU50S	13012	LCU50S	MONTROSE 500MM LOW BASE CUPBOARD(200MM D	284.53	227.65	284.564	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU60	13012	LCU60	MONTROSE 600MM LOW BASE CUPBOARD(290MM D	298.68	238.97	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU60S	13012	LCU60S	MONTROSE 600MM LOW BASE CUPBOARD(200M DE	298.68	238.97	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU70	13012	LCU70	MONTROSE 700MM LOW BASE CUPBOARD(290MM D	318.12	254.52	318.150	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU70S	13012	LCU70S	MONTROSE 700MM LOW BASE CUPBOARD(200MM D	318.12	254.52	318.150	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU80	13012	LCU80	MONTROSE 800MM LOW BASE CUPBOARD(290MM D	337.56	270.07	337.589	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU80S	13012	LCU80S	MONTROSE 800MM LOW BASE CUPBOARD(200MM D	337.56	270.07	337.589	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU90	13012	LCU90	MONTROSE 900MM LOW BASE CUPBOARD(290MM D	355.24	284.21	355.268	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCU90S	13012	LCU90S	MONTROSE 900MM LOW BASE CUPBOARD(200MM D	355.24	284.21	355.268	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP30	13012	LCUP30	MONTROSE 300MM LOW BASE CUPBOARD(290MM D	189.99	152.01	190.010	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP30S	13012	LCUP30S	MONTROSE 300MM LOW BASE CUPBOARD(200MM D	189.99	152.01	190.010	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP35	13012	LCUP35	MONTROSE 350MM LOW BASE CUPBOARD(290MM D	203.24	162.60	203.266	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP35S	13012	LCUP35S	MONTROSE 350MM LOW BASE CUPBOARD(200MM D	203.24	162.60	203.266	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP40	13012	LCUP40	MONTROSE 400MM LOW BASE CUPBOARD(290MM D	215.60	172.49	215.631	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP40S	13012	LCUP40S	MONTROSE 400MM LOW BASE CUPBOARD(200MM D	215.60	172.49	215.631	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP45	13012	LCUP45	MONTROSE 450MM LOW BASE CUPBOARD(290MM D	224.39	179.52	224.476	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP45S	13012	LCUP45S	MONTROSE 450MM LOW BASE CUPBOARD(200MM D	224.39	179.52	224.476	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP50	13012	LCUP50	MONTROSE 500MM LOW BASE CUPBOARD(290MM D	284.55	227.65	284.564	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP50S	13012	LCUP50S	MONTROSE 500MM LOW BASE CUPBOARD(200MM D	284.55	227.65	284.564	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP60	13012	LCUP60	MONTROSE 600MM LOW BASE CUPBOARD(290MM D	298.68	238.97	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP60S	13012	LCUP60S	MONTROSE 600MM LOW BASE CUPBOARD(200MM D	298.68	238.97	298.711	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP70	13012	LCUP70	MONTROSE 700MM LOW BASE CUPBOARD(290MM D	318.12	254.52	318.150	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP70S	13012	LCUP70S	MONTROSE 700MM LOW BASE CUPBOARD(200MM D	318.12	254.52	318.150	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP80	13012	LCUP80	MONTROSE 800MM LOW BASE CUPBOARD(290MM D	337.56	270.07	337.589	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP80S	13012	LCUP80S	MONTROSE 800MM LOW BASE CUPBOARD(200MM D	337.56	270.07	337.589	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP90	13012	LCUP90	MONTROSE 900MM LOW BASE CUPBOARD(290MM D	355.24	284.21	355.268	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LCUP90S	13012	LCUP90S	MONTROSE 900MM LOW BASE CUPBOARD(200MM D	355.24	284.21	355.268	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFA02CP	13012	LFA02/CP	MONTROSE LED A02 LIGHT	116.62	93.32	116.655	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFAUCP	13012	LFAU/CP	MONTROSE AURA LIGHT+DRIVER(CP)	73.33	55.00	73.330	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFAZCP	13012	LFAZCP	MONTROSE AREZZO LED(2.5W)NEEDS DRIVER	37.98	29.56	37.997	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFC	13012	LF/C	MONTROSE 12V DOWNLIGHT CHROME	27.79	22.24	27.817	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFDR15W	13012	LFDR15W	MONTROSE 15W DRIVER(MAX 6 CONNECTIONS)	22.93	18.19	22.938	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFDR8W	13012	LFDR8W	MONTROSE 8W DRIVER(MAX 3 CONNECTIONS)	13.78	11.03	13.787	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFDVCP	13012	LFDVCP	MONTROSE DEVA LED(2.5W)NEEDS DRIVER	79.33	60.66	79.346	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFFLACP	13012	LFFLACP	MONTROSE FLAY LIGHT CHROME	140.12	112.11	140.134	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFGRAN	13012	LFGRAN	MONTROSE GRACE LED(2.5W)NEEDS DRIVER	36.31	28.68	36.323	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFLEDCP	13012	LFLEDCP	MONTROSE DOWNLIGHT LED(1.8W)NEEDS DRIVER	21.98	17.59	21.994	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFPK10CP	13012	LFPK10CP	MONTROSE 10 LED PLINTH KIT+DRIVER	111.83	88.23	111.841	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFPK4CP	13012	LFPK4CP	MONTROSE 4 LED PLINTH KIT+DRIVER	66.91	52.94	66.918	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFSERCP	13012	LFSERCP	MONTROSE SERAFINO LIGHT CHROME	118.26	94.63	118.288	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFSN	13012	LF/SN	MONTROSE 12V SWAN NECK LIGHT SATIN NICKE	38.75	31.01	38.772	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFSRCP	13012	LFSRCP	MONTROSE SIRIUS LED(4W)NEEDS DRIVER	42.04	33.08	42.049	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFVETCP	13012	LFVETCP	MONTROSE VETRELLA LIGHT CHROME	111.30	89.05	111.332	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LFVRCP	13012	LFVRCP	MONTROSE VERONA LED(1.8W)NEEDS DRIVER	32.49	25.91	32.505	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LPM15	13012	LPM15	MONTROSE 1500MM LIGHT PELMET	45.69	36.56	45.718	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LSPK10CP	13012	LSPC10/CP	MONTROSE 10 LIGHT PLINTH SET CHROME	105.32	84.26	105.350	50.00	0.00		0.00	0.00	0.00	0.00	0.00
LSPK4CP	13012	LSPK4/CP	MONTROSE 4 LIGHT PLINTH SET CHROME	62.61	50.10	62.623	50.00	0.00		0.00	0.00	0.00	0.00	0.00
