PERIOD,DATE,JOURNAL,REFERENCE,VALUE,BRANCH,GLCODE,GLREPORT
201610,21/10/16,66398,75331/ROBERT LEE(LONDON)LTD ,39.72,2,630,54
201607,15/07/16,63469,71776/DAVROC LIMITED ,135.83,2,630,54
201602,03/02/16,59631,67492/WH CYLINDERS ,133.09,2,700,58
201709,01/09/17,74983,85556/ROBERT LEE(LONDON)LTD ,77.19,2,700,58
201803,06/03/18,79629,92497/EJ   ,228,2,630,54
201702,17/02/17,69732,79125/MAINCOR LTD ,2480.19,2,630,54
201611,29/11/16,67409,76450/DAVROC LIMITED ,74.4,2,720,56
201606,03/06/16,63167,71432/ROBERT LEE(LONDON)LTD ,134.62,2,630,54
201602,16/02/16,59531,67382/CLAYGATE DISTRIBUTION LTD ,-67.87,2,720,56
201709,06/09/17,74479,84994/CLAYGATE DISTRIBUTION LTD ,39,2,700,58
201803,27/03/18,79327,92800/MASEFIELD-EPSON LTD ,139.16,2,630,54
201703,24/03/17,70440,79966/JOULE UK ,-717.02,2,720,56
201611,14/11/16,66905,75660/KITSONS THERMAL SUPPLIES ,-328.21,2,720,56
201607,14/07/16,63471,71778/F&P WHOLESALE ,-115.93,2,720,56
201602,09/02/16,59835,67731/BRISTAN LTD ,-29.95,2,720,56
201611,30/01/17,JV5392,NOV PAYMENTS ,169.39,2,360,14
201709,18/09/17,74581,85109/GRANT ENGINEERING (UK) LTD ,1183,2,630,54
201710,28/11/17,JV5593,OCTOBER PAYMENTS ,1448.17,2,700,58
201707,14/07/17,73067,82917/ROBERT LEE(LONDON)LTD ,-189.89,2,720,56
201702,13/02/17,69229,78389/MONTROSE FURNITURE ,407.92,2,630,54
201608,30/08/16,64583,73126/EMBRASS ,-239.88,2,720,56
201603,30/03/16,60846,68897/H&V CONTROLS LTD ,-144,2,720,56
201802,21/02/18,78622,91884/PHOENIX  ,155,2,630,54
201705,24/05/17,71856,81428/BROUGHTON CRANGROVE ,12.55,2,700,58
201701,03/01/17,68422,77486/MONARCH WATER LTD ,507.86,2,700,58
201608,16/06/16,64786,73773/ROBERT LEE(LONDON)LTD ,345.38,2,720,56
201605,20/05/16,61857,69930/PHOENIX  ,-147,2,720,56
201712,07/12/17,76098,90107/N.FROY AND SONS LIMITED ,-455.99,2,720,56
201704,27/04/17,71352,81000/BROUGHTON CRANGROVE ,1198.74,2,720,56
201611,18/11/16,67413,76456/CLAYGATE DISTRIBUTION LTD ,126,2,720,56
201607,24/06/16,63979,72517/CLAYGATE DISTRIBUTION LTD ,458.79,2,630,54
201603,22/03/16,60747,68795/KUDOS SHOWER PRODUCTS LIMITED ,132.38,2,630,54
201711,29/11/17,77412,89778/CONNECTIONS ,19.16,2,700,58
201712,21/12/17,76402,90432/GRANT ENGINEERING (UK) LTD ,456.42,2,700,58
201706,27/06/17,72666,82459/N.FROY AND SONS LIMITED ,35.95,2,700,58
201702,07/02/17,69131,78266/DAVROC LIMITED ,-94.92,2,720,56
201609,29/09/16,65596,74239/ROBERT LEE(LONDON)LTD ,-230.3,2,720,56
201605,26/05/16,62263,70381/DAVROC LIMITED ,22.4,2,700,58
201612,30/01/17,JV5397,2/610 ,1850,2,210,4
201711,13/11/17,76908,89085/VOGEL&NOOT PRODUCTS LTD ,17.56,2,700,58
201706,20/06/17,72869,82685/JOULE UK ,-304.72,2,720,56
201702,13/02/17,69233,78393/MONTROSE FURNITURE ,44.83,2,700,58
201610,31/10/16,66203,75071/MITCHELLS(MILLBROOK)LTD ,384,2,630,54
201704,03/04/17,70748,79659/MARK VITOW LIMITED ,-210,2,690,52
201601,13/01/16,58628,66193/SIMPSONS ,32.08,2,700,58
201605,03/05/16,61759,69161/PHOENIX  ,-1010.51,2,690,52
201711,06/11/17,76909,89086/CORAM SHOWERS LIMITED ,142,2,630,54
