PERIOD,DATE,JOURNAL,REFERENCE,VALUE,BRANCH,GLCODE,GLREPORT
201801,12/01/18,77699,90825/DAVROC LIMITED ,30.17,2,700,58
201706,14/06/17,72448,82038/N&C BUILDING PRODUCTS LTD ,318.07,2,630,54
201701,24/01/17,68509,77752/DAVROC LIMITED ,39.62,2,700,58
201609,14/09/16,64974,73525/WESTCO FLOW CONTROL LTD ,-132.14,2,720,56
201604,27/04/16,61237,69338/SIMPSONS ,-748.08,2,720,56
201711,15/11/17,77397,89758/CLAYGATE DISTRIBUTION LTD ,25.88,2,700,58
201709,28/11/17,JV5584,SEPT PAYMENTS ,100,2,260,10
201706,14/06/17,72449,82039/FARMILOE ,121.68,2,630,54
201702,10/02/17,69217,78377/KUDOS SHOWER PRODUCTS LIMITED ,-137.26,2,720,56
201609,30/08/16,65682,74443/SMART SHOWERS  ,100.2,2,720,56
201605,31/05/16,62349,70484/BRETT MARTIN LTD ,424.54,2,630,54
201711,21/11/17,77297,89243/BRETT MARTIN LTD ,230.43,2,700,58
201710,06/10/17,75479,88320/H&V CONTROLS LTD ,-321,2,720,56
201706,23/06/17,72652,82442/N&C BUILDING PRODUCTS LTD ,15.27,2,700,58
201702,15/02/17,69723,79116/F&P WHOLESALE ,764.55,2,630,54
201610,11/10/16,65986,74789/MONTROSE FURNITURE ,16.42,2,700,58
201612,22/11/16,68108,77526/HIB LTD ,357.75,2,630,54
201605,18/05/16,62451,70627/BSS GROUP PLC ,165.19,2,630,54
201601,07/01/16,58714,66281/N.FROY AND SONS LIMITED ,312.06,2,630,54
201710,12/10/17,75581,88589/MONARCH WATER LTD ,496.43,2,700,58
201705,24/05/17,71946,81521/ASTROFLAME(FIRESEALS)LTD ,3.32,2,700,58
201608,12/08/16,64472,72969/GRANT ENGINEERING (UK) LTD ,220,2,700,58
201604,14/04/16,61038,68747/GRANT ENGINEERING (UK) LTD ,0,2,700,58
201704,12/04/17,71241,80878/JOULE UK ,999.42,2,630,54
201802,02/02/18,78309,91515/DAVROC LIMITED ,-227.93,2,720,56
201705,19/05/17,71947,81522/ROBERT LEE(LONDON)LTD ,14.12,2,630,54
201612,31/10/16,68109,77527/JUST TAPS PLUS LTD ,-251.1,2,720,56
201608,03/08/16,64574,73091/N.FROY AND SONS LIMITED ,19.08,2,700,58
201605,04/05/16,62049,70138/FARMILOE ,-193.86,2,720,56
201801,09/01/18,78007,91175/TOOLBANK(CURTIS HOLT) ,28.19,2,630,54
201612,13/12/16,67605,76527/BLANCO LIMITED ,-72.75,2,630,54
201711,23/11/17,77200,89426/SIMPSONS ,-134,2,720,56
201606,29/06/16,62959,71189/BOSWELL BROS (SALISBURY) ,-312,2,720,56
201605,10/05/16,61848,69868/SANEUX ,-4.87,2,700,58
201709,05/09/17,74978,85567/ROBERT LEE(LONDON)LTD ,-108.86,2,720,56
201709,19/09/17,74777,85357/BROUGHTON CRANGROVE ,818.45,2,630,54
201704,04/04/17,71343,80983/METHVEN UK LIMITED ,-582.59,2,720,56
201611,02/11/16,67202,76151/MAINCOR LTD ,31.68,2,630,54
201608,24/08/16,64273,72758/N.FROY AND SONS LIMITED ,69.41,2,700,58
201603,11/03/16,60334,68149/ROBERT LEE(LONDON)LTD ,15.84,2,700,58
201601,31/01/16,58819,66407/JSC EDMUNDSON ELECTRICAL ,282.61,2,720,56
201709,31/10/17,75080,88383/JCR TILING ,325,2,720,56
201603,03/03/16,60132,67184/ARISTON ,2322.21,2,720,56
201802,05/02/18,78312,91520/ROBERT LEE(LONDON)LTD ,-93.96,2,720,56
201708,31/08/17,74071,84019/SYMPHONY GROUP PLC ,-600.41,2,690,52
201701,11/01/17,68314,77346/DAVROC LIMITED ,-610.79,2,720,56
201707,08/06/17,73670,84204/HIB LTD ,229,2,630,54
201609,12/09/16,65385,74011/H&V CONTROLS LTD ,285,2,630,54
201604,19/04/16,61345,69477/ROBERT LEE(LONDON)LTD ,37.12,2,630,54
201801,23/01/18,77909,91063/METHVEN UK LIMITED ,148.89,2,630,54
201708,16/08/17,73870,83738/ROBERT LEE(LONDON)LTD ,-5.03,2,720,56
201702,28/02/17,69628,79011/ROBERT LEE(LONDON)LTD ,77.99,2,630,54
201610,19/10/16,66093,74931/SIAMP UK LTD ,-802.25,2,720,56
201605,20/07/16,62558,Consolidated PL Journal ,-13002.8,2,720,56
201601,29/01/16,59023,66652/SIMPSONS ,71.67,2,630,54
201712,13/12/17,75991,89982/THE LAWTON TUBE CO LTD ,16732.61,2,630,54
201707,14/07/17,73568,83580/DAVROC LIMITED ,155.4,2,630,54
201702,28/02/17,69629,79012/ROBERT LEE(LONDON)LTD ,-132.1,2,720,56
201607,11/07/16,63367,71649/SIMPSONS ,246,2,630,54
201610,20/10/16,66296,75196/SMITH BROTHERS STORES LTD ,-15.7,2,720,56
201601,20/01/16,59125,66789/MITCHELLS(MILLBROOK)LTD ,-523.75,2,720,56
201710,24/10/17,75487,88328/N.FROY AND SONS LIMITED ,259.89,2,630,54
201703,21/03/17,70337,79844/BRISTAN LTD ,-22.14,2,720,56
201610,26/10/16,66196,75064/MITCHELLS(MILLBROOK)LTD ,45.12,2,700,58
201606,06/06/16,62560,70712/ROBERT LEE(LONDON)LTD ,-9.5,2,700,58
201801,31/01/18,78114,91284/DAVROC LIMITED ,6433.13,2,720,56
201710,20/10/17,75387,88199/ALTECNIC LTD ,51.64,2,700,58
201706,08/06/17,72762,82560/ROBERT LEE(LONDON)LTD ,2.96,2,700,58
201702,08/02/17,69530,78882/NATIONAL SHOWER SPARES ,3.42,2,700,58
201610,27/10/16,65894,74694/NAVIGATOR MSL LTD ,143.39,2,630,54
201606,05/07/16,62965,71207/JOHN CRIBB AND SONS LIMITED ,-214.32,2,690,52
201601,20/01/16,59127,66791/MITCHELLS(MILLBROOK)LTD ,216.6,2,630,54
201709,28/09/17,74883,85470/SIMPSONS ,-107.6,2,720,56
201707,11/07/17,73571,83583/CLAYGATE DISTRIBUTION LTD ,207.99,2,700,58
201703,16/03/17,70137,79452/DAVROC LIMITED ,-50,2,630,54
201610,06/10/16,66501,75729/N&C BUILDING PRODUCTS LTD ,11.89,2,630,54
201606,24/06/16,62966,71210/MELPASS LTD ,355.6,2,630,54
201602,16/02/16,59532,67383/CLAYGATE DISTRIBUTION LTD ,463.58,2,630,54
201712,11/01/18,76500,90569/SMART SHOWERS  ,-1552.2,2,690,52
201710,04/10/17,75187,85798/JOULE UK ,233.2,2,700,58
201801,10/01/18,77510,90602/JOULE UK ,-1435.44,2,720,56
201706,21/06/17,72663,82454/EASTBROOK CO ,159,2,630,54
201701,11/01/17,68421,77484/BROUGHTON CRANGROVE ,50.98,2,630,54
201711,20/10/17,77107,89330/ROBERT LEE(LONDON)LTD ,-123.8,2,720,56
201607,15/07/16,63472,71779/F&P WHOLESALE ,100,2,630,54
201602,09/02/16,60038,67965/MONTROSE FURNITURE ,632.87,2,630,54
201608,30/08/16,64584,73127/EMBRASS ,115.8,2,630,54
201709,06/09/17,74481,84996/CLAYGATE DISTRIBUTION LTD ,-187.2,2,720,56
201803,09/03/18,79127,92432/DHL BATHROOM SUPPLIES LTD ,65.89,2,630,54
201705,31/05/17,71755,81319/KUDOS SHOWER PRODUCTS LIMITED ,2813.92,2,720,56
201612,02/12/16,67917,77010/ROBERT LEE(LONDON)LTD ,8.77,2,700,58
201603,29/03/16,60847,68898/INTATEC LTD ,141.4,2,630,54
201711,02/11/17,76603,88542/HIB LTD ,1700.55,2,720,56
201801,03/01/18,77512,90604/EASTBROOK CO ,540,2,630,54
201704,13/04/17,71150,80765/MANTHORPE BUILDING PRODUCTS LT ,97.68,2,700,58
201611,08/11/16,67211,76160/HARGREAVES FOUNDRY DRAINAGE LT ,132.15,2,630,54
201607,06/07/16,63878,72411/SNICKERS ORIGINAL LTD ,19.26,2,700,58
201603,31/03/16,60646,68646/PHOENIX  ,28.75,2,700,58
201602,04/02/16,59335,67004/SANEUX ,21.25,2,720,56
201710,27/10/17,75493,88335/SANEUX ,109.38,2,630,54
201801,11/01/18,77614,90719/ROBERT LEE(LONDON)LTD ,-80.22,2,720,56
201705,19/05/17,71959,81534/ROBERT LEE(LONDON)LTD ,-45.04,2,720,56
201612,02/12/16,67919,77012/ROBERT LEE(LONDON)LTD ,-631.18,2,720,56
201609,01/09/16,65091,73668/ROBERT LEE(LONDON)LTD ,107.52,2,630,54
201604,31/03/16,61253,69373/JOHN CRIBB AND SONS LIMITED ,6.01,2,700,58
201801,22/01/18,77817,90965/JCR TILING ,-1000,2,720,56
201801,08/05/18,JV5707,JAN PAYMENTS ,0,2,803,59
201706,07/06/17,72364,81945/VOGUE UK LTD ,68,2,630,54
201705,04/05/17,71455,80408/NATIONAL SHOWER SPARES ,-226.1,2,690,52
201610,05/10/16,66001,74818/EMBRASS ,50.7,2,700,58
201604,07/04/16,61557,69704/METHVEN UK LIMITED ,61.62,2,700,58
201711,02/11/17,76505,88444/JOULE UK ,6293.81,2,720,56
201602,11/02/16,59639,67506/F&P WHOLESALE ,42.6,2,720,56
201801,11/01/18,77616,90721/ROBERT LEE(LONDON)LTD ,18.23,2,700,58
201707,31/07/17,73476,83484/ROBERT LEE(LONDON)LTD ,195.88,2,630,54
201703,24/03/17,70345,79852/FLOWFLEX COMPONENTS LTD ,648.5,2,630,54
201611,04/11/16,66709,75312/ROBERT LEE(LONDON)LTD ,-23.44,2,630,54
201607,06/07/16,63376,71660/N.FROY AND SONS LIMITED ,-670.81,2,720,56
201801,31/01/18,78122,91292/FILPLASTIC UK LTD ,-56.16,2,690,52
201705,19/05/17,71962,81537/ROBERT LEE(LONDON)LTD ,12.3,2,630,54
201701,04/01/17,68225,76692/TVS BOILER SPARES LTD ,484.6,2,720,56
201608,23/08/16,64791,73813/SYDENHAMS ,15.43,2,700,58
201604,25/04/16,61155,69109/FLOWFLEX COMPONENTS LTD ,-1.94,2,700,58
201709,28/09/17,74891,85478/MAINCOR LTD ,-146.95,2,720,56
201801,23/01/18,77820,90968/ROBERT LEE(LONDON)LTD ,44.2,2,700,58
201705,31/05/17,72064,81652/METHVEN UK LIMITED ,148.4,2,630,54
201701,16/01/17,68933,77981/PURMO UK ,157.04,2,700,58
201609,30/09/16,65297,73912/ELLIOTT BROTHERS LTD ,-3078.99,2,690,52
201605,04/05/16,61964,70042/CLAYGATE DISTRIBUTION LTD ,1959.25,2,630,54
201802,28/02/18,78831,92108/GRIPIT ,1169.44,2,720,56
201712,07/12/17,76003,89998/ROBERT LEE(LONDON)LTD ,180.96,2,630,54
201707,12/07/17,73075,82925/ROBERT LEE(LONDON)LTD ,15.31,2,700,58
201708,17/08/17,74186,84162/HIB LTD ,64.8,2,630,54
201712,20/12/17,76408,90438/DAVROC LIMITED ,12.46,2,700,58
201606,07/06/16,62571,70769/ROBERT LEE(LONDON)LTD ,17.55,2,700,58
201602,01/02/16,59339,67008/DAVROC LIMITED ,-66.5,2,630,54
201712,20/11/17,76004,90005/DESIGN TYPES LTD ,-324.4,2,700,58
201709,19/09/17,74893,85480/HANSGROHE LIMITED ,-78.1,2,720,56
201705,06/04/17,72268,82181/FLOWFLEX COMPONENTS LTD ,86.3,2,700,58
201701,18/01/17,68733,78002/SIMPSONS ,-214,2,720,56
201611,09/11/16,67319,76351/ZILMET UK ,-240.97,2,720,56
201607,29/09/16,64087,Consolidated PL Journal ,35.94,2,282,11
201603,23/03/16,60653,68653/WH CYLINDERS ,146.35,2,700,58
201709,13/09/17,74490,85005/FARMILOE ,71.66,2,700,58
201701,30/03/17,JV5507,JAN PAYMENTS ,3702.96,2,520,50
201802,09/02/18,78429,91654/MAINCOR LTD ,-132.04,2,720,56
201711,17/10/17,77117,89340/ROBERT LEE(LONDON)LTD ,-231.71,2,720,56
201711,06/11/17,76713,88875/SANEUX ,28.43,2,700,58
201609,21/09/16,65199,73802/MONTROSE FURNITURE ,18,2,720,56
201605,03/05/16,61765,69167/ROBERT LEE(LONDON)LTD ,-16372.02,2,690,52
201801,26/01/18,78228,91425/N&C BUILDING PRODUCTS LTD ,7.2,2,700,58
201705,25/04/17,72270,82191/H&V CONTROLS LTD ,-5.46,2,630,54
201701,17/01/17,68230,77198/THE LAWTON TUBE CO LTD ,-54.82,2,700,58
201608,22/08/16,64695,73279/SYMPHONY GROUP PLC ,76.94,2,700,58
201701,30/03/17,JV5506,JAN RECEIPTS ,246773.29,2,690,52
201604,28/04/16,61665,69813/ELLIOTT BROTHERS LTD ,-88.8,2,720,56
201708,31/08/17,74088,84036/VOGUE UK LTD ,187.2,2,720,56
201711,21/12/17,JV5605,NOV PAYMENTS ,505.74,2,710,57
201710,19/10/17,75401,88217/WOSHERWORLD ,189.59,2,630,54
201707,06/07/17,73685,84263/TOOLBANK(CURTIS HOLT) ,-2.7,2,700,58
201611,08/11/16,66918,75673/ROBERT LEE(LONDON)LTD ,25.98,2,700,58
201703,24/03/17,70150,79517/GRANT ENGINEERING (UK) LTD ,258.7,2,700,58
201606,14/04/16,62676,70876/ATKINSON EQUIPMENT LTD ,18.3,2,630,54
201601,11/01/16,59242,66906/ROBERT LEE(LONDON)LTD ,-191.18,2,720,56
201710,19/10/17,75099,85689/BRISTAN LTD ,2.16,2,720,56
201707,24/07/17,73181,83031/PRIMAFLOW LTD ,12.87,2,700,58
201609,12/09/16,65404,74030/SMART SHOWERS  ,-768.13,2,720,56
201605,25/05/16,62273,70391/ROPER RHODES LIMITED ,45.9,2,700,58
201602,09/03/16,59647,67522/F&P WHOLESALE ,-1987.62,2,690,52
201801,08/05/18,JV5708,SALES CORRECTION ,-42499.95,2,700,58
201711,22/11/17,77323,89683/CLAYGATE DISTRIBUTION LTD ,34.5,2,630,54
201702,03/02/17,69243,78403/CLAYGATE DISTRIBUTION LTD ,-170.14,2,720,56
201609,30/09/16,65304,73919/N.FROY AND SONS LIMITED ,-164.97,2,180,2
201712,25/01/18,JV5609,DEC PAYROLL ,575,2,250,8
201606,08/06/16,62577,70775/ROBERT LEE(LONDON)LTD ,275.26,2,630,54
201712,21/12/17,76313,90337/EMBRASS ,310.93,2,630,54
201801,08/05/18,JV5709,JAN CORRECTIONS ,11036.31,2,520,50
201706,02/06/17,72375,81957/F&P WHOLESALE ,-10220,2,720,56
201702,16/02/17,69143,78296/SIMPSONS ,36.33,2,700,58
201609,08/09/16,65002,73555/ROBERT LEE(LONDON)LTD ,5.23,2,630,54
201604,22/04/16,61366,69498/ZEHNDER GROUP UK LTD (RETAIL) ,104.04,2,700,58
201701,18/01/17,68740,78009/DAVROC LIMITED ,-97.44,2,720,56
201705,10/05/17,72174,81764/TILEBACKER LIMITED ,-308.92,2,720,56
201609,13/09/16,65104,73683/SANEUX ,-780.02,2,720,56
201612,01/12/16,67528,75843/SYMPHONY GROUP PLC ,506.92,2,720,56
201712,11/12/17,76113,90122/VOGEL&NOOT PRODUCTS LTD ,669.69,2,630,54
201712,12/12/17,76013,90016/HANSGROHE LIMITED ,16,2,700,58
201702,15/02/17,69347,78536/ROBERT LEE(LONDON)LTD ,61.92,2,630,54
201610,20/10/16,65913,74713/MONARCH WATER LTD ,126.06,2,700,58
201604,06/04/16,61570,69717/ROBERT LEE(LONDON)LTD ,-26.9,2,720,56
201802,02/02/18,78336,91546/INTERNATIONAL DECORATIVE SURFA ,-342.9,2,720,56
201704,03/04/17,71267,80904/VOGEL&NOOT PRODUCTS LTD ,139.28,2,700,58
201612,15/12/16,68035,77142/N.FROY AND SONS LIMITED ,-144.49,2,720,56
201608,26/08/16,64702,73315/CWB WHOLESALE ,168.45,2,630,54
201603,23/03/16,60763,68811/BROUGHTON CRANGROVE ,-1448.68,2,720,56
201606,30/06/16,62884,71112/PURMO UK ,190.52,2,720,56
201710,12/10/17,75105,85696/SIMPSONS ,-39.27,2,700,58
201803,12/03/18,79549,93040/MITCHELLS(MILLBROOK)LTD ,-252.78,2,720,56
201702,28/02/17,69753,79214/SIMPSONS ,-10.27,2,700,58
201610,24/10/16,66319,75221/VOGUE UK LTD ,270.5,2,630,54
201606,07/06/16,62784,70997/SIMPSONS ,-306.98,2,720,56
201601,14/01/16,59148,66812/HIB LTD ,140.62,2,630,54
201608,01/08/16,64097,71977/MAINCOR LTD ,1335.16,2,720,56
201709,27/09/17,74904,85491/DAVROC LIMITED ,36.68,2,700,58
201802,08/05/18,JV5714,FEB DEPRECIATION ,-500,2,504,50
201703,24/03/17,70158,79525/SIMPSONS ,59.93,2,700,58
201611,18/11/16,66825,75565/MARFLOW ENGINEERING LTD ,-161.1,2,720,56
201602,13/04/16,JV5311,FEB PREPAYMENTS ,-2600,2,610,55
201606,29/06/16,62987,71231/FLOWFLEX COMPONENTS LTD ,-442.58,2,720,56
201711,30/10/17,76824,89007/ELLIOTT BROTHERS LTD ,78.5,2,630,54
201712,25/01/18,JV5614,DEC PAYMENTS ,10000,2,350,12
201709,19/09/17,74300,84802/BROUGHTON CRANGROVE ,443.2,2,630,54
201703,01/03/17,70462,79988/DAVROC LIMITED ,127.05,2,630,54
201611,09/11/16,66927,75682/ROBERT LEE(LONDON)LTD ,31.29,2,700,58
201712,24/11/17,76118,90127/APP WHOLESALE PLC ,596.44,2,630,54
201602,04/02/16,59857,67753/ROBERT LEE(LONDON)LTD ,8.08,2,700,58
201801,12/01/18,77734,90867/EASTBROOK CO ,-145.2,2,630,54
201704,06/04/17,71170,80786/N.FROY AND SONS LIMITED ,8.62,2,700,58
201612,09/12/16,67736,76815/ROBERT LEE(LONDON)LTD ,-21.37,2,720,56
201607,19/07/16,63999,72615/ELLIOTT BROTHERS LTD ,289,2,630,54
201603,14/03/16,60363,68178/ALTECNIC LTD ,22.09,2,700,58
201710,12/10/17,75513,88373/DESIGN TYPES LTD ,197.88,2,700,58
201802,08/05/18,JV5717,FEB PAYMENTS ,250,2,260,10
201706,21/06/17,72585,82229/WATERLINE LIMITED ,851.7,2,630,54
201701,26/01/17,68949,79215/SIMPSONS ,-271.6,2,720,56
201609,13/09/16,65111,73692/PRIMAFLOW LTD ,102.59,2,630,54
201606,15/06/16,62990,71234/COOPER CALLAS ,10.65,2,700,58
201601,21/01/16,58748,66321/THE LAWTON TUBE CO LTD ,-7345.49,2,690,52
201701,04/01/17,68141,76608/MID-NORTH LTD ,23.58,2,720,56
201705,12/05/17,71676,81185/SIMPSONS ,0,2,700,58
201710,09/10/17,75211,85823/METHVEN UK LIMITED ,-27.64,2,720,56
201707,31/07/17,73394,83398/MITCHELLS(MILLBROOK)LTD ,266.1,2,630,54
201703,08/03/17,69960,79206/ROBERT LEE(LONDON)LTD ,-47.64,2,630,54
201610,13/10/16,66122,74961/TALON LTD ,132.7,2,630,54
201605,23/05/16,62284,70402/BROUGHTON CRANGROVE ,115.98,2,700,58
201709,28/09/17,74909,85496/GRANT ENGINEERING (UK) LTD ,19.51,2,700,58
201709,19/09/17,74809,85391/SIMPSONS ,26.6,2,700,58
201711,21/11/17,77031,89227/MONTROSE FURNITURE ,-836.89,2,720,56
201611,10/11/16,67335,76367/H&V CONTROLS LTD ,-21.42,2,720,56
201607,22/07/16,63699,72221/ROBERT LEE(LONDON)LTD ,-66.71,2,720,56
201603,08/03/16,60467,68284/TODAYS TOOLS LTD ,-254.68,2,720,56
201801,23/01/18,78041,91209/F&P WHOLESALE ,-582.11,2,720,56
201710,19/10/17,75517,88382/JCR TILING ,0,2,700,58
201702,14/02/17,69255,78415/CLAYGATE DISTRIBUTION LTD ,21.72,2,630,54
201611,18/11/16,66730,75448/SANEUX ,-95.67,2,630,54
201605,09/05/16,62084,70174/HEATMISER UK LTD ,-364.4,2,720,56
201601,31/01/16,58852,66440/SIMPSONS ,-5400.17,2,690,52
201711,09/11/17,77335,89695/UPTREND DISTRIBUTION ,137.01,2,630,54
201705,23/05/17,71983,81559/CAVALIER MARKETING ,624,2,630,54
201701,09/01/17,68347,77379/N.FROY AND SONS LIMITED ,83.33,2,630,54
201610,26/10/16,65923,74723/SIMPSONS ,-64.5,2,720,56
201604,22/04/16,61075,69019/MASEFIELD-EPSON LTD ,174.81,2,630,54
201707,26/07/17,73397,83401/MITCHELLS(MILLBROOK)LTD ,36.85,2,630,54
201801,24/01/18,78043,91211/F&P WHOLESALE ,3.24,2,700,58
201704,28/04/17,71075,80681/DAVROC LIMITED ,131.95,2,630,54
201612,05/12/16,68045,77161/CLAYGATE DISTRIBUTION LTD ,46.92,2,630,54
201608,16/08/16,64409,72904/ROBERT LEE(LONDON)LTD ,58.64,2,630,54
201605,03/05/16,61783,69185/ULTRA FINISHING LIMITED ,-321.84,2,690,52
201711,21/11/17,77034,89230/MONTROSE FURNITURE ,26.83,2,700,58
201803,08/05/18,JV5723,MAR DEPRECIATION ,-2900,2,530,50
201702,20/02/17,69359,78548/ROBERT LEE(LONDON)LTD ,8.64,2,700,58
201609,05/09/16,65723,74880/H&V CONTROLS LTD ,-1601.11,2,720,56
201605,17/05/16,61885,69960/DAVROC LIMITED ,-712.74,2,720,56
201603,29/03/16,60572,68570/SIMPSONS ,-97.5,2,720,56
201712,18/12/17,76328,90354/DAVROC LIMITED ,-31.08,2,720,56
201803,22/03/18,79358,92832/EMBRASS ,22.01,2,700,58
201703,09/05/17,JV5523,MAR DEPRECIATION ,800,2,370,14
201611,15/11/16,66936,75691/MONTROSE FURNITURE ,5,2,700,58
201702,01/02/17,68956,77603/MJ ABBOTT LIMITED ,425.45,2,720,56
201602,18/02/16,59563,67414/BROUGHTON CRANGROVE ,1574.08,2,630,54
201711,01/11/17,76632,88711/ROBERT LEE(LONDON)LTD ,-239.28,2,720,56
201706,05/06/17,72391,81973/MITCHELLS(MILLBROOK)LTD ,261.82,2,630,54
201702,07/02/17,69058,78187/ROBERT LEE(LONDON)LTD ,3.14,2,720,56
201609,29/09/16,65422,74059/BROUGHTON CRANGROVE ,-377.97,2,720,56
201604,29/04/16,61180,69281/JUST TAPS PLUS LTD ,59.95,2,700,58
201709,06/09/17,74512,85027/ROBERT LEE(LONDON)LTD ,190,2,630,54
201803,02/03/18,79158,92464/SIMPSONS ,-54,2,720,56
201706,09/06/17,72493,82084/ROBERT LEE(LONDON)LTD ,139.06,2,630,54
201701,18/01/17,68251,77281/A.P TECHNIK LTD ,-184.52,2,720,56
201608,11/08/16,64514,73022/SANEUX ,78,2,630,54
201604,06/04/16,61484,69621/N.FROY AND SONS LIMITED ,170.41,2,630,54
201711,15/11/17,77038,89234/EASTBROOK CO ,-405.36,2,720,56
201712,29/12/17,76230,90254/NAVIGATOR MSL LTD ,-425.52,2,690,52
201703,09/05/17,JV5525,MAR COST OF SALES ,175785,2,150,2
201703,09/05/17,JV5527,MAR PAYMENTS ,12.12,2,211,4
201707,31/07/17,73604,83851/ROBERT LEE(LONDON)LTD ,-21.93,2,630,54
201802,07/02/18,78452,91678/MITCHELLS(MILLBROOK)LTD ,-455.09,2,720,56
201705,22/05/17,71989,81565/NATIONAL SHOWER SPARES ,19.66,2,630,54
201701,06/01/17,68353,77385/HANSGROHE LIMITED ,-23.88,2,720,56
201608,01/08/16,64111,71991/ROB POND PLUMB HEAT SOLUTIONS  ,-305.99,2,690,52
201603,03/03/16,60374,68190/ZEHNDER GROUP UK LTD (RETAIL) ,24.75,2,700,58
201710,20/10/17,75625,88641/N&C BUILDING PRODUCTS LTD ,122.73,2,630,54
201612,05/12/16,67950,77050/H&V CONTROLS LTD ,210.72,2,630,54
201607,22/07/16,64011,72719/H CLARK & SON(SALT SUPPLIERS)L ,-558.6,2,720,56
201603,21/03/16,60880,68931/BROUGHTON CRANGROVE ,-1638.37,2,720,56
201703,09/05/17,JV5528,MAR PAYMENTS ,260,2,211,4
201712,18/12/17,76434,90471/H CLARK & SON(SALT SUPPLIERS)L ,494.95,2,630,54
201707,31/07/17,73607,83854/ROBERT LEE(LONDON)LTD ,58.79,2,720,56
201611,19/10/16,67446,76519/CLAYGATE DISTRIBUTION LTD ,15.96,2,720,56
201607,11/07/16,63911,72447/BROUGHTON CRANGROVE ,1401.17,2,630,54
201603,02/03/16,60477,68295/IDEAL BATHROOMS ,-108.01,2,720,56
201606,17/06/16,62700,70910/ROBERT LEE(LONDON)LTD ,7.19,2,700,58
201803,05/03/18,79162,92468/INTERNATIONAL DECORATIVE SURFA ,44.42,2,700,58
201702,02/02/17,69770,79414/BOSWELL BROS (SALISBURY) ,52,2,700,58
201610,11/10/16,66538,75954/B&E ERECTION SERVICES LIMITED ,15,2,700,58
201602,10/02/16,59367,67086/N.FROY AND SONS LIMITED ,-10.08,2,700,58
201708,31/08/17,74113,84061/GRANT ENGINEERING (UK) LTD ,-11.77,2,700,58
201802,16/02/18,78557,91808/ROBERT LEE(LONDON)LTD ,-828.84,2,720,56
201705,19/05/17,71993,81569/BROUGHTON CRANGROVE ,-10.86,2,720,56
201701,16/01/17,68660,77913/MJ ABBOTT LIMITED ,-680.4,2,720,56
201609,13/09/16,64923,73470/SIMPSONS ,-405.6,2,720,56
201604,22/04/16,61085,69029/FLOWFLEX COMPONENTS LTD ,124.49,2,700,58
201710,02/10/17,75225,85838/CALMAG YORKSHIRE LIMITED ,-249.41,2,720,56
201803,15/03/18,79568,93059/SMITH BROTHERS STORES LTD ,3.23,2,700,58
201604,24/05/16,JV5331,APRIL PAYMENTS ,172.8,2,310,12
201704,25/04/17,70984,80552/ROBERT LEE(LONDON)LTD ,230.75,2,630,54
201611,25/11/16,67146,76072/ROBERT LEE(LONDON)LTD ,20.07,2,630,54
201607,26/07/16,63712,72234/ROBERT LEE(LONDON)LTD ,-43.43,2,720,56
201603,16/03/16,60278,68093/EMBRASS ,-217.19,2,720,56
201711,02/11/17,76539,88478/ROPER RHODES LIMITED ,356.1,2,720,56
201801,30/01/18,78256,91465/FLOWFLEX COMPONENTS LTD ,-1015.96,2,720,56
201705,11/07/17,72298,Consolidated PL Journal ,883.28,2,700,58
201701,06/01/17,68359,77391/DAVROC LIMITED ,112.5,2,630,54
201608,17/08/16,64622,73182/DAVROC LIMITED ,17.15,2,630,54
201708,02/08/17,73712,83095/WATERLINE LIMITED ,1022.04,2,720,56
201801,31/01/18,78257,91466/NOCODE ,97.25,2,700,58
201707,18/07/17,73107,82957/DAIKIN AIRCONDITIONING UK LTD ,14.59,2,700,58
201701,17/01/17,68764,78034/ARISTON ,-1557.86,2,720,56
201609,29/09/16,65633,74276/CLAYGATE DISTRIBUTION LTD ,-170.14,2,720,56
201605,03/05/16,61795,69197/WESSEX CHEMICAL FACTORS ,219.6,2,720,56
201710,09/11/17,75733,88756/ROBERT LEE(LONDON)LTD ,-27.9,2,720,56
201711,10/11/17,76946,89132/CLAYGATE DISTRIBUTION LTD ,45.6,2,700,58
201704,10/04/17,71088,80694/ROBERT LEE(LONDON)LTD ,-90.18,2,720,56
201612,17/01/17,68058,77194/THRIFTY CAR & VAN RENTAL ,382,2,720,56
201608,15/08/16,64422,72919/DAVROC LIMITED ,-70.56,2,720,56
201604,28/04/16,61190,69291/BROUGHTON CRANGROVE ,41.75,2,700,58
201706,26/06/17,72705,82500/ROPER RHODES LIMITED ,184.37,2,630,54
201702,07/02/17,69574,78936/WOSHERWORLD ,154.44,2,630,54
201609,28/09/16,65534,74173/DAVROC LIMITED ,-44.94,2,720,56
201605,20/07/16,JV5333,MAY SALES ,272168.52,2,600,53
201612,17/01/17,68059,77196/F&P WHOLESALE ,0,2,720,56
201712,08/12/17,75937,89909/ROB POND PLUMB HEAT SOLUTIONS  ,-20.4,2,720,56
201709,01/09/17,74524,85039/FM PRODUCTS ,23.23,2,700,58
201704,19/04/17,70888,80219/BRISTAN LTD ,-14.06,2,700,58
201602,11/02/16,59879,67779/HIB LTD ,-149.4,2,720,56
201611,25/11/16,67151,76077/ROBERT LEE(LONDON)LTD ,29.13,2,700,58
