PRODUCT	ATT 1	ATT 2	ATT 3	ATT 5	ATT 6	ATT 7	ATT 9	ATT 10	ATT 11	ATT 13	ATT 14	ATT 15	ATT 20	ATT 22	ATT 31	ATT 32
FUR149ME	METRO 600MM BASIN	91	11011	9945	9180	1530000	1530000	6000	0	612000	1		S	FUR149ME	1	
BBKER23QT	BURLINGTON QT KENSINGTON REGAL DECK BATH FILLER	262	20120	0	0	3325000	3325000	1000	0	2992500	1		S	KER23-QT	1	
QV1022W	QUINN SLIEVE VSP 1800X505 QV1022W	5	17181	13312	12102	2420500	2420500	6250	0	907687	1		S	QV1022W	1	
BBC503411WH	AMPM INSPIRE WALL HUNG BIDET	261	20120	14937	13565	1991700	1991700	5200	0	956016	1		S	C503411WH	1	
BBBI12QT	BURLINGTON QT BIRKENHEAD 3H BASIN MIXER WITH POP UP WASTE	262	20120	0	0	2491700	2491700	1000	0	2242530	1		S	BI12-QT	1	
3618DC	900X450 DIR COMBI PTL G3 F JOULE	142	10152	18225	16900	2294200	2294200	5000	0	1147100	1		S	CCCB3009045FRA	1	
ST1680	K-VIT 1600 X 800MM RECTANGLE L/P TRAY	71	11011	16196	14950	2491700	2491700	6000	0	996680	1		S	KRR1608L	1	
QV1023W	QUINN SLIEVE VSP 1800X650 QV1023W	5	17181	15295	13905	2781000	2781000	6250	0	1042875	1		S	QV1023W	1	
BBQ1230D	AQUACAB D300 2TH 1200 DOUBLE QUATTRO BASIN	262	20120	21689	19529	2991700	2991700	5500	0	1346265	1		S	Q1230D	1	
BRWMNT9C	RECESSED WALL MOUNT FIXING CHROME PLATED	109	21809	4950	4537	687500	687500	5450	0	312812	1		S	WMNT9 C	1	
BBQ1230L	AQUACAB D300 1TH 1200 LEFT QUATTRO BASIN	262	20120	16856	15177	2325000	2325000	5500	0	1046250	1		S	Q1230L	1	
QV1024W	SLIEVE 1800 X 795 WHITE	5	17181	16315	14832	2966400	2966400	6250	0	1112400	1		S	QV1024W	1	
HEPHTC1012	HEP2O HAND TITAN TAP CONNECTOR W 10X1/2	251	23012	206	206	32800	32800	4800	1500	14497	1		S	HD26A/10W	1	
BBQ1230R	AQUACAB D300 1TH 1200 RIGHT QUATTRO BASIN	262	20120	16856	15177	2325000	2325000	5500	0	1046250	1		S	Q1230R	1	
BBARC73NKLV60	ARCADE NICKEL 1 OUTLET CONCEALED VALVE WITH FIXED ARM & 12" HEAD COMP:	262	20120	44708	40256	6166700	6166700	5500	0	2775015	1		S	ARC73.NKL+V60	1	
FTCP223430	WRAS UK P/F 22X3/4X300 19MM BORE FLEX TAP CONN(2) PER 1	203	23051	1140	1040	166700	166700	5200	0	80016	1		S	28815	*	
BRFLTSQSHCFHC	FLUTE CONC SEQ CHROME +FHKIT	110	21809	31500	28875	4375000	4375000	5450	0	1990625	1		S	FLT SQSHCFH C	1	
MCPG16M1	PRESS ELBOW TO MALE THREAD 16X1/2	121	13010	535	472	63000	63000	5500	0	28350	1		S	PG16M1	1	1
QV1026W	QUINN SLIEVE VSP 2000X795 QV1026W	5	17181	18128	16480	3296000	3296000	6250	0	1236000	1		S	QV1026W	1	
